date,package,version,cumulative,clamped
2026-08-10,Ank.DocToolkit.Extensions.DependencyInjection,0.20.0,49,
2026-08-10,Ank.DocToolkit.Extensions.DependencyInjection,0.3.0,89,
2026-08-10,Ank.DocToolkit.Extensions.DependencyInjection,0.3.1,92,
2026-08-10,Ank.DocToolkit.Extensions.DependencyInjection,0.3.10,97,
2026-08-10,Ank.DocToolkit.Extensions.DependencyInjection,0.3.11,122,
2026-08-10,Ank.DocToolkit.Extensions.DependencyInjection,0.3.12,132,
2026-08-10,Ank.DocToolkit.Extensions.DependencyInjection,0.3.2,211,
2026-08-10,Ank.DocToolkit.Extensions.DependencyInjection,0.3.3,92,
2026-08-10,Ank.DocToolkit.Extensions.DependencyInjection,0.3.4,102,
2026-08-10,Ank.DocToolkit.Extensions.DependencyInjection,0.3.5,113,
2026-08-10,Ank.DocToolkit.Extensions.DependencyInjection,0.3.6,126,
2026-08-10,Ank.DocToolkit.Extensions.DependencyInjection,0.3.7,130,
2026-08-10,Ank.DocToolkit.Extensions.DependencyInjection,0.3.8,100,
2026-08-10,Ank.DocToolkit.Extensions.DependencyInjection,0.3.9,126,
2026-08-10,Ank.DocToolkit.Extensions.DependencyInjection,0.4.0,146,
2026-08-10,Ank.DocToolkit.Extensions.DependencyInjection,0.5.0,157,
2026-08-10,Ank.DocToolkit.Extensions.DependencyInjection,0.6.0,120,
2026-08-10,Ank.DocToolkit.Extensions.DependencyInjection,0.7.0,165,
2026-08-10,Ank.DocToolkit.Extensions.DependencyInjection,0.8.0,116,
2026-08-10,Ank.DocToolkit.Extensions.DependencyInjection,0.9.0,195,
2026-08-11,Ank.DocToolkit,0.1.0,352,
2026-08-11,Ank.DocToolkit,0.10.0,419,
2026-08-11,Ank.DocToolkit,0.11.0,1021,
2026-08-11,Ank.DocToolkit,0.12.0,839,
2026-08-11,Ank.DocToolkit,0.13.0,289,
2026-08-11,Ank.DocToolkit,0.14.0,290,
2026-08-11,Ank.DocToolkit,0.15.0,263,
2026-08-11,Ank.DocToolkit,0.16.0,319,
2026-08-11,Ank.DocToolkit,0.18.0,121,
2026-08-11,Ank.DocToolkit,0.18.1,267,
2026-08-11,Ank.DocToolkit,0.19.0,94,
2026-08-11,Ank.DocToolkit,0.19.1,116,
2026-08-11,Ank.DocToolkit,0.2.0,1480,
2026-08-11,Ank.DocToolkit,0.2.1,223,
2026-08-11,Ank.DocToolkit,0.2.2,93,
2026-08-11,Ank.DocToolkit,0.20.0,260,
2026-08-11,Ank.DocToolkit,0.21.0,0,
2026-08-11,Ank.DocToolkit,0.3.0,92,
2026-08-11,Ank.DocToolkit,0.3.1,92,
2026-08-11,Ank.DocToolkit,0.3.10,98,
2026-08-11,Ank.DocToolkit,0.3.11,121,
2026-08-11,Ank.DocToolkit,0.3.12,132,
2026-08-11,Ank.DocToolkit,0.3.2,215,
2026-08-11,Ank.DocToolkit,0.3.3,91,
2026-08-11,Ank.DocToolkit,0.3.4,97,
2026-08-11,Ank.DocToolkit,0.3.5,117,
2026-08-11,Ank.DocToolkit,0.3.6,127,
2026-08-11,Ank.DocToolkit,0.3.7,119,
2026-08-11,Ank.DocToolkit,0.3.8,105,
2026-08-11,Ank.DocToolkit,0.3.9,122,
2026-08-11,Ank.DocToolkit,0.4.0,147,
2026-08-11,Ank.DocToolkit,0.5.0,159,
2026-08-11,Ank.DocToolkit,0.6.0,131,
2026-08-11,Ank.DocToolkit,0.7.0,287,
2026-08-11,Ank.DocToolkit,0.8.0,417,
2026-08-11,Ank.DocToolkit,0.9.0,209,
2026-08-11,Ank.DocToolkit.Extensions.DependencyInjection,0.10.0,118,
2026-08-11,Ank.DocToolkit.Extensions.DependencyInjection,0.11.0,307,
2026-08-11,Ank.DocToolkit.Extensions.DependencyInjection,0.12.0,606,
2026-08-11,Ank.DocToolkit.Extensions.DependencyInjection,0.13.0,156,
2026-08-11,Ank.DocToolkit.Extensions.DependencyInjection,0.14.0,268,
2026-08-11,Ank.DocToolkit.Extensions.DependencyInjection,0.15.0,137,
2026-08-11,Ank.DocToolkit.Extensions.DependencyInjection,0.16.0,288,
2026-08-11,Ank.DocToolkit.Extensions.DependencyInjection,0.18.0,110,
2026-08-11,Ank.DocToolkit.Extensions.DependencyInjection,0.18.1,124,
2026-08-11,Ank.DocToolkit.Extensions.DependencyInjection,0.19.0,85,
2026-08-11,Ank.DocToolkit.Extensions.DependencyInjection,0.19.1,96,
2026-08-11,Ank.DocToolkit.Extensions.DependencyInjection,0.2.1,226,
2026-08-11,Ank.DocToolkit.Extensions.DependencyInjection,0.2.2,99,
2026-08-11,Ank.DocToolkit.Extensions.DependencyInjection,0.20.0,236,
2026-08-11,Ank.DocToolkit.Extensions.DependencyInjection,0.21.0,0,
2026-08-11,Ank.DocToolkit.Extensions.DependencyInjection,0.3.0,89,
2026-08-11,Ank.DocToolkit.Extensions.DependencyInjection,0.3.1,92,
2026-08-11,Ank.DocToolkit.Extensions.DependencyInjection,0.3.10,97,
2026-08-11,Ank.DocToolkit.Extensions.DependencyInjection,0.3.11,123,
2026-08-11,Ank.DocToolkit.Extensions.DependencyInjection,0.3.12,132,
2026-08-11,Ank.DocToolkit.Extensions.DependencyInjection,0.3.2,213,
2026-08-11,Ank.DocToolkit.Extensions.DependencyInjection,0.3.3,93,
2026-08-11,Ank.DocToolkit.Extensions.DependencyInjection,0.3.4,102,
2026-08-11,Ank.DocToolkit.Extensions.DependencyInjection,0.3.5,113,
2026-08-11,Ank.DocToolkit.Extensions.DependencyInjection,0.3.6,127,
2026-08-11,Ank.DocToolkit.Extensions.DependencyInjection,0.3.7,130,
2026-08-11,Ank.DocToolkit.Extensions.DependencyInjection,0.3.8,101,
2026-08-11,Ank.DocToolkit.Extensions.DependencyInjection,0.3.9,126,
2026-08-11,Ank.DocToolkit.Extensions.DependencyInjection,0.4.0,146,
2026-08-11,Ank.DocToolkit.Extensions.DependencyInjection,0.5.0,157,
2026-08-11,Ank.DocToolkit.Extensions.DependencyInjection,0.6.0,128,
2026-08-11,Ank.DocToolkit.Extensions.DependencyInjection,0.7.0,174,
2026-08-11,Ank.DocToolkit.Extensions.DependencyInjection,0.8.0,125,
2026-08-11,Ank.DocToolkit.Extensions.DependencyInjection,0.9.0,204,
2026-08-12,Ank.DocToolkit,0.1.0,352,
2026-08-12,Ank.DocToolkit,0.10.0,419,
2026-08-12,Ank.DocToolkit,0.11.0,1021,
2026-08-12,Ank.DocToolkit,0.12.0,840,
2026-08-12,Ank.DocToolkit,0.13.0,292,
2026-08-12,Ank.DocToolkit,0.14.0,290,
2026-08-12,Ank.DocToolkit,0.15.0,266,
2026-08-12,Ank.DocToolkit,0.16.0,321,
